Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0603,2,22pF,
"C3, C4, C5, C7",0603,4,100nF,
"C6, C8, C9",0603,3,1uF,
"D1, D2",0603,2,LED,
IC1,AP738133Y13,1,AZ1117CR2-5.0TRG1,
J1,USB_Micro-B_GCT_USB3076-30-A,1,USB_B_Micro,
"J2, J3",PinHeader_1x11_P2.00mm_Vertical,2,Conn_01x11,
J4,PinHeader_1x07_P2.00mm_Vertical,1,Conn_01x07,
Q1,SuperSOT-3,1,FDN340P,
Q2,SOT-23,1,PMV48XP,
"R1, R2",0603,2,22,
"R3, R4",0603,2,10k,
"R5, R6",0603,2,330,
U1,TQFP-44_10x10mm_P0.8mm,1,ATmega32U4-A,
Y1,830108288709_Handsolderable,1,830108288709,
