Designator,Mid X,Mid Y,Rotation,Layer
C1,-3.0,3.0,90.0,bottom
C2,-1.0,3.0,90.0,bottom
C3,-5.0,3.0,90.0,bottom
C4,-1.5,-3.0,90.0,bottom
C5,1.5,-3.0,0.0,bottom
C6,1.5,1.0,0.0,bottom
C7,1.5,-1.0,0.0,bottom
C8,11.75,5.5,90.0,bottom
C9,11.75,-5.5,270.0,bottom
D1,8.5,5.5,180.0,top
D2,8.5,-5.5,180.0,top
IC1,8.644,0.0,90.0,bottom
J1,10.0,0.0,90.0,top
J2,2.0,8.0,90.0,bottom
J3,2.0,-8.0,90.0,bottom
J4,-8.0,0.0,0.0,bottom
Q1,8.5,-4.75,180.0,bottom
Q2,8.5625,4.75,0.0,bottom
R1,5.0,1.0,0.0,bottom
R2,5.0,-1.0,0.0,bottom
R3,-3.5,-3.0,90.0,bottom
R4,1.5,3.0,180.0,bottom
R5,5.0,3.0,180.0,bottom
R6,5.0,-3.0,180.0,bottom
U1,0.0,0.0,90.0,top
Y1,-2.0,0.0,180.0,bottom
